Local time,Open,High,Low,Close,Volume
23.01.2020 10:00:00.000 GMT-0500,330.302,330.833,330.082,330.312,19.5661
23.01.2020 11:00:00.000 GMT-0500,330.293,330.403,329.622,330.172,18.1072
23.01.2020 12:00:00.000 GMT-0500,330.173,330.683,330.022,330.332,12.4609
23.01.2020 13:00:00.000 GMT-0500,330.323,331.223,330.222,331.213,12.1653
23.01.2020 14:00:00.000 GMT-0500,331.212,331.722,331.142,331.692,11.9397
23.01.2020 15:00:00.000 GMT-0500,331.702,331.923,331.452,331.753,14.2293
24.01.2020 09:00:00.000 GMT-0500,332.452,332.523,331.762,332.232,12.3275
24.01.2020 10:00:00.000 GMT-0500,332.233,332.243,330.842,331.182,21.6938
24.01.2020 11:00:00.000 GMT-0500,331.182,331.553,329.952,329.982,20.7221
24.01.2020 12:00:00.000 GMT-0500,329.972,329.973,328.712,329.802,23.1127
24.01.2020 13:00:00.000 GMT-0500,329.803,329.813,328.042,328.472,20.2481
24.01.2020 14:00:00.000 GMT-0500,328.472,328.633,327.372,328.622,23.2828
24.01.2020 15:00:00.000 GMT-0500,328.612,329.272,327.843,328.772,23.6124
27.01.2020 09:00:00.000 GMT-0500,323.063,324.693,322.692,324.492,15.5057
27.01.2020 10:00:00.000 GMT-0500,324.482,324.623,323.302,323.872,25.0832
27.01.2020 11:00:00.000 GMT-0500,323.872,324.433,323.322,324.212,22.498
27.01.2020 12:00:00.000 GMT-0500,324.213,325.133,324.002,324.692,17.629
27.01.2020 13:00:00.000 GMT-0500,324.682,325.083,324.452,324.623,14.6672
27.01.2020 14:00:00.000 GMT-0500,324.622,324.993,323.892,324.232,15.2488
27.01.2020 15:00:00.000 GMT-0500,324.222,324.563,323.472,323.522,18.3748
28.01.2020 09:00:00.000 GMT-0500,325.083,325.503,324.562,325.102,14.3359
28.01.2020 10:00:00.000 GMT-0500,325.122,327.023,325.122,326.862,22.8888
28.01.2020 11:00:00.000 GMT-0500,326.863,327.263,326.452,327.222,18.7935
28.01.2020 12:00:00.000 GMT-0500,327.223,327.473,327.012,327.122,12.1787
28.01.2020 13:00:00.000 GMT-0500,327.123,327.183,326.642,327.102,10.3601
28.01.2020 14:00:00.000 GMT-0500,327.103,327.853,327.102,327.442,12.0354
28.01.2020 15:00:00.000 GMT-0500,327.443,327.703,326.822,326.892,15.3366
29.01.2020 09:00:00.000 GMT-0500,328.382,328.492,327.162,327.282,13.0594
29.01.2020 10:00:00.000 GMT-0500,327.282,327.903,326.412,327.832,25.2783
29.01.2020 11:00:00.000 GMT-0500,327.833,328.083,327.612,327.922,16.6679
29.01.2020 12:00:00.000 GMT-0500,327.932,328.083,327.782,327.832,11.7304
29.01.2020 13:00:00.000 GMT-0500,327.842,328.323,327.682,328.052,9.2374
29.01.2020 14:00:00.000 GMT-0500,328.053,328.633,327.762,327.783,16.1074
29.01.2020 15:00:00.000 GMT-0500,327.792,327.903,326.562,326.633,20.6393
30.01.2020 09:00:00.000 GMT-0500,324.362,325.893,324.312,325.223,14.3157
30.01.2020 10:00:00.000 GMT-0500,325.202,325.873,323.552,323.732,23.083
30.01.2020 11:00:00.000 GMT-0500,323.732,325.713,323.652,325.183,21.0008
30.01.2020 12:00:00.000 GMT-0500,325.182,325.363,323.872,324.282,17.9466
30.01.2020 13:00:00.000 GMT-0500,324.283,324.732,324.053,324.552,14.3843
30.01.2020 14:00:00.000 GMT-0500,324.553,326.182,324.462,325.892,19.3201
